Unnamed: 0.1,Unnamed: 0,French,English
1,1,histoire,history
8,8,genre,kind
11,11,laisser,let
12,12,car,because
13,13,mettre,to put
14,14,aucun,no
17,17,ville,city
19,19,parlé,speak
21,21,devrait,should
22,22,bébé,baby
25,25,vont,will
26,26,pendant,while
27,27,revoir,meet again
31,31,compris,understood
34,34,attention,Warning
35,35,voici,here is
36,36,pourrais,could
37,37,affaire,case
38,38,donner,give
41,42,train,train
43,44,endroit,place
46,47,écoute,listen
47,48,dont,whose
50,51,perdu,lost
51,52,main,hand
52,53,première,first
53,54,côté,side
56,57,sois,be
58,59,matin,morning
59,60,tellement,so much
62,63,venu,came
63,64,suite,after
66,67,minutes,minutes
68,69,chambre,bedroom
71,72,aimerais,would like to
73,74,mari,husband
76,77,espère,hope
79,80,parti,left
81,82,boulot,job
83,84,dirait,would say
85,86,compte,account
89,90,croire,believe
90,91,chérie,sweetheart
92,93,plutôt,rather
93,94,aura,will have
